title,article,date,author,link
Poly innovations amaze the Education Minister,Hazviperi Mbizi,"September 24, 2020","The Minister made these remarks on September 23, 2020 during the tour of duty which she visited and inspected various equipment and protective gears which the Polytechnic Design studio has been producing.The equipment includes; the full body decontaminating chamber, the face shields, 3D reusable masks, the solar cooler, pedal operated hand wash unit, the drone, the low-cost ventilators and the hand sanitizer.“I want to appreciate what I have seen today at the Polytechnic regarding how engineers and applied science professionals have responded to the COVID 19 challenge which is among us,” she said.The Minister added that she was inspired by the questionnaire which was designed to point out what was needed to be done. She also highlighted that she is impressed with the three task forces which the college formed, where by they were looking at issues to do with the guidelines, impact on the economy and the innovations.“Malawi is predominantly occupied by young people, if we are to take and teach them those skills, with that kind of energy and focus on innovation, release them to the industry, where will Malawi be in terms of the economy?” queried Nyalonje.She later said that her ministry will look into the issue of delinking which has taken a long time to finalize. She added that if Polytechnic could be a stand-alone University the number of students who will be graduating yearly could increase.In his remarks, the Principal Professor Grant Kululanga started by congratulating the Minister on her appointment and promised that the Polytechnic staff and students are ready to work with her.He further thanked the Minister for allowing the college to start opening in phases considering all the COVID 19 measures which it has put in place.",http://www.mubas.ac.mw/news/poly-innovations-amaze-the-education-minister-24-09-2020
Poly produces FISU Ambassador,Hazviperi Mbizi,"September 23, 2020","FISU is a world-wide board that was established to bring together all Universities through sports.Every two years, FISU organizes a FISU volunteer academy which takes place in Karzan, Russia. The main aim is to impart knowledge to students on how they can mix sports with academics.Every country selects a candidate to represent it at the FISU volunteer academy. In this case, it is theUniversity Sports Association of Malawi (USAM) which is the National University Sports Federation that chose Israella after noticing how the Polytechnic Netball team has been performing under her leadership.“I attended the training online, due to the Corona Virus pandemic, that is when I was declared the Ambassador to Malawi whose role is to serve as an important link between FISU and student communities,” she said.FISU as an organization offers different postgraduate degree programs in sports which interested student athletes benefit from. It also organizes different world University games which student athletes are nurtured in talent advancement and exposure.Chirwa who is studying Bachelor of Arts in Business Communication (BBC) year 3 explained that the position of Ambassador runs for two years. Nevertheless, if the Corona Virus situation improves, she might travel to Russia in 2021.Polytechnic Netball Giants are holders of the TESSAM trophy after winning a gold medal in both 2017 and 2020. They also attained a silver medal of the Presidential Netball Trophy (Southern region on the district level) and a bronze medal of the same at the regional level.The BBC lecturer Dr Murendehle Juwayeyi commented that he is proud of his student’s achievement whom he described as a pleasant and hardworking young lady.",http://www.mubas.ac.mw/news/poly-produces-fisu-ambassador-23-09-2020
First ODL Course launched,Hazviperi Mbizi,"September 15, 2020","This has been done with the collaboration of the project of Strengthening Higher Education Access in Malawi (SHEAMA) which is funded by the USAID and Arizona University.Students have been selected from the rural areas and Community Day Secondary Schools for the sake of reaching out to those who may not have the privilege to have access to higher learning.Speaking during the launch which took place on Monday, September 14th 2020, SHEAMA’s Chief of Party, Dr Zikani Kaunda, explained that the aim of the project is to increase access to qualified students but somehow could not have the opportunity to further their education.“There are over 80,000 students who are just idle in Malawi. We are targeting them, where by they will be imparted with employable skills so that they are able to fend for themselves and employ others.” Dr Kaunda said.In his remarks, the Principal Professor Grant Kulunga thanked the SHEAMA project team for the sponsorship of this unique course.“Apart from the normal lectures, we have engaged the industry which also participated in the development of the curriculum to come and induct, train them so that they can either get employed or offer employment to others through entrepreneurship.” Professor Kululanga added.The ODL Coordinator at the Polytechnic Dr Rabson Mgawi encouraged the students to work hard and use this opportunity to learn engineering skills.Some students have been given sponsorship by SHEAMA.SHEAMA is also running ODL projects in other universities like Mzuzu University, Lilongwe University of Agriculture and Natural Resources, plus the Chancellor College.",http://www.mubas.ac.mw/news/first-odl-course-launched-15-09-2020
Poly to introduce E- Learning,Hazviperi Mbizi,"September 12, 2020","The process to implement ERT&L commenced with the consultation of key stake holders on how best the College could resume studies in the face of the dangers associated with the Covid-19 pandemic.The College is conducting a number of workshops which aims at training members of staff on utilizing online learning through the use of the online platforms; Moodle and the Big Blue Button.Speaking during the Master Trainer Workshop which took place from September 11-12 2020 at the School of Engineering Lecture Theatre, The Principal Professor Grant Kululanga emphasized that the College through the ERT&L Taskforce organized this as a temporary shift of instructional delivery to an alternate delivery mode due to crisis or emergency circumstances.“This program will be implemented at the commencement of the next academic year when the face to face mode of learning is still a challenge due to Covid-19,” he said.Professor Kululanga added that the Moodle tool will be used to reach out to students as long as they have internet accessible gadgets like smartphones and computers where they will be able to acquire learning materials, assignments and progress with their work.Different presentations were made on various topics like Navigating E-Learning platform (Moodle and Big Blue Button), Developing Online Content; Resource and Interaction tools, Chats and Forums by Dr Patrick Chikumba, Goodall Nyirenda, Alima Jika and many other Information Technology experts.Polytechnic has also introduced Open Distance Learning (ODL) programs which Lecturers and students could benefit from these online remote teaching and learning platforms that have been implemented.At the end of the workshop, participants were presented with Certificates of Attendance.Each faculty will conduct these workshops to its members of staff in different sessions.",http://www.mubas.ac.mw/news/poly-to-introduce-e-learning-12-09-2020
Poly student wins first position in a competition,Hazviperi Mbizi,"August 31, 2020","Presenting the prizes was the President of Malawi Dr Lazarus Chakwera at the First Annual National Development Conference which took place on August 27th 2020 at the Bingu International Conference Centre.The competition requested for entries from the youth aged 10 to 25, to share their vision of a Malawi they would like to have by 2063 and how that can be achieved.“I happened to see the call in a newspaper and was really inspired by the mere fact that the task and opportunity was offered to the youth hence my participation,” She explained.Morta’s entry was an Abstract Drawing Artwork which portrayed the main theme that centers on how Malawi can be developed if every citizen participates in building it.The excited Architect in the making described the whole experience as thrilling.“I feel very honored that my ideas have been considered for the well-being of my country. It is an experience that has motivated me to improve myself, my society which in turn will help improve my country,” Morta added.According to the NPC Communications Specialist Thom Khanje, entries were assessed for their relevance, articulation, creativity and uniqueness.“With support from our partners UNICEF, World Bank, USAID, National Youth Council and SeedCo, we have given out appropriate and befitting prizes for all the winners and their runners up such as school supplies, e-learning gadgets and cash to support their other educational needs.” Khanje said.Morta said she thanks God for taking her through to this point. She is also thankful to NPC for offering such a great opportunity to the youth. She further acknowledges her parents, friends and siblings for the encouragement, support and believing in her dreams.",http://www.mubas.ac.mw/news/poly-student-wins-first-position-in-a-competition-31-08-2020
Nyoni wins essay competition,Hazviperi Mbizi,"August 18, 2020","The competition which requested the youth to write an essay on the title ‘My future Our future’ was held from May 25th to June 19th 2020. It was meant for young Malawians in different categories to contribute ideas towards the development of the National Transformation 2063, a successor of Vision 2020.“When I saw the topic, I decided to submit my entry because the topic centers on economics which is the main module in the program I am studying at the University,” Nyoni explained.The competition had four different categories namely; Primary school, Secondary school, Tertiary and Arts.“I am so excited that I am one of the winners, when I submitted my entry, I had forgotten about it until when I received a call from the commission informing me that I am among the winners,” explained an excited Nyoni.According to the NPC Communications Specialist Thom Khanje, entries were assessed for their relevance, articulation, creativity and uniqueness.“With support from our partners UNICEF, World Bank, USAID, National Youth Council and SeedCo, we are arranging appropriate and befitting prizes for all the winners and their runners up and these will include school supplies, e-learning gadgets and cash to support their other educational needs.” Khanje said.Oliheya Nyoni came third in the Tertiary category, from the total of 350 entries in all categories combined.The prize presentation ceremony is expected to take place towards the end of August 2020.",http://www.mubas.ac.mw/news/nyoni-wins-essay-competition-18-08-2020
Poly students win COVID 19 Challenge,Hazviperi Mbizi,"August 13, 2020","The duo, Sam Masikini (Bachelor of Science in Information Technology) and Brenald Dzonzi (Bachelor of Electrical and Electronics Engineering), were presented with tasks which portrayed challenges the youth are facing due to the Corona Virus disease (COVID 19) pandemic.“The competition was open to all youth in Malawi, but I am happy that me and my partner have managed to be among the ten winners with our projects; Stalled learning and Sanitation/ hygiene,” Maskini explained.UNICEF which partnered with other organisations, using a method called Design Thinking; made a call to the youth of Malawi to come up with ideas of projects which could be used to solve problems based on the situation presented.“We are currently being trained by the hubs and the experts from partnering organisations in the competition to come up with a finished product or service which could be utilized.” Masikini added.Masikini’s project, Stalled learning, focused on an application called Inspire which can used to simplify how E-learning can be implemented in rural areas where internet access and the accessibility of resources like smartphones, computers and data bundles is a big challenge.On the other hand Dzonzi’s project Sanitation and Hygiene focusses on a hand sensitization unit that is meant to help increase touch free disinfection practices in high volume public areas and hospitals.“It is exciting to see that the efforts we have made during the COVID 19 period have been recognized by UNICEF to be part of the solutions that can help Malawi,” Dzonzi said.Their plan and goal is to see that the projects have been adopted in the education, medical and public settings in order to increase hand hygiene compliance and the adoption of affordable E-learning in the country.The duo acknowledges The Polytechnic Design Studio Managers Hillary Lodzanyama and Will Moyo for assisting in fostering the development of the solutions together with The Polytechnic COVID 19 task force for helping in perfecting the ideas.",http://www.mubas.ac.mw/news/poly-students-win-covid-19-challenge-13-08-2020
Poly project team wins grant,Hazviperi Mbizi,"August 6, 2020","The total funded value for the project is £134,894.According to the project’s country leader Dr Faidess Mwale, the aim of the project; digital innOVation in climatE hazaRd early warning and related disease prevention for COMmunity capacity building and rEsilience also known as OVERCOME is to employ digital technologies to forecasting the impact of floods, droughts and associated disease outbreaks in the country.This bid was done in collaboration with University of Exeter Lead Research Organization, Mozambique National Institute of Meteorology, Chinhoyi University of Technology, University of Zimbabwe and University of Ghana“This project will also develop digital solutions that will improve the resilience of vulnerable communities against climatic disasters and associated health risks.” Dr Mwale explained.The Project Team consists of Dr Faidess Mwale (Country Leader), Associate Professor Geoffrey Chavula, Mr Sylvester Chikabvumbwa (Civil Engineering Department) and Dr Christabel Kambala (Environmental Health Department)Project Partners include; Ministry of Agriculture, Irrigation and Water Development, Ministry of Health, Department of Disaster Management Affairs and Department of Climate Change and Meteorological Services.",http://www.mubas.ac.mw/news/poly-project-team-wins-grant-06-08-2020
Let’s fight COVID 19,Hazviperi Mbizi,"July 16, 2020","This machine is used to disinfect individuals from head to toe. Once they step in, it senses automatically and sterilizes them with a sanitized steam for a period of 20 seconds.According to the Design Studio Manager Hilary Lodzanyama, it could be used in places like offices, airports, hospitals and any other areas where there is mobility.“We decided to improve the features of this machine so that it should be effective in cleansing people when they are entering and exiting on premises,” Lodzanyama explained.In addition to this, the Design Studio is also manufacturing Pedal Operated hand washing machines, Face shields and other protective gears which are being sold in bulk.Organizations and individuals in need of the various items can visit the Polytechnic Design Studio or by calling Hilary Lodzanyama on 0888416190.",http://www.mubas.ac.mw/news/lets-fight-covid-19-16-07-2020
Make your dream a reality,Hazviperi Mbizi,"July 11, 2020","Khudze who is also a Motivational speaker, Founder and National Coordinator for Reach out to Girls and Girl Education Advocate, explained that as a young person who has faced many challenges in pursuit of her dreams, she totally understands how hard it is for a young dreamer to rise again when he is knocked out with challenges.“This book has been written based on real life experiences which aims at challenging someone’s faith that if someone made it, there is grace that can also carry them through on their dream journey. It also gives some insights on what one can do as they are fighting hard to materialise their dreams,’’ She explained.Also shared in the book are stories of people who have once failed, coming from miserable backgrounds, and thought of giving up but later made it in life.There will be a virtual launch of the book on the 25th July 2020. The link to the launch will be shared on http://www.facebook.com/sakhumw/ as the day approaches.Copies of the book will be available after the launch, but can be ordered now from Sarah Khudze on +265994447588/881012891 or email her on sarahkhudze5@gmail.com. Copies will be sold at K3500.According to Khudze the profits made from the sales will be donated to Beautiful Minds Scholarship, a project that aims at supporting needy secondary school students with their education. Buying a copy will mean helping a needy student somewhere.Random interviews with Polytechnic students reveal that many are eager to have this book which they say will help the young people around the world to make sound decisions about their future.",http://www.mubas.ac.mw/news/make-your-dream-a-reality-11-07-2020
Poly to introduce new programs,Hazviperi Mbizi,"June 24, 2020","Delegates at the workshop that took place in Mulanje on June 19, 2020 discussed that the programs under the Faculty of Commerce are expected to roll out as soon the University of Malawi senate sanctions them in the next academic year.According to the Dean of the Faculty of Commerce Associate Professor Betchani Tchereni the prospective programs are; Bachelor of Law – Commercial Law (Honours) LLB, Bachelor of Commerce in Taxation (BCOM Taxation), Bachelor of Procurement and Logistics Management (BPLM) from first year, Master of Commerce in Taxation (MCom Taxation), Doctor of Philosophy in Taxation (PhD in Commerce Taxation) and Master of Commerce in NGO Management.“Introduction of these programs is one way of increasing access to specialization of specific areas in the profession. For instance, government and organizations seek advice on taxation to anyone who is under the Faculty of Commerce hoping that the individual is supposed to be conversant, when sometimes it is not the case,” Dr Tchereni explained.Dr Tchereni added that, with the delinking of the University from the University of Malawi to Malawi University of Business and Applied Sciences (MUBAS), this is an advantage and opportunity to expand offerings and intake.The Principal of the Polytechnic, Professor Grant Kululanga explained that this is a very good initiative which aims at providing high quality education which will enable the University to get international recognition which may also attract international students.The Polytechnic Alumni Society through its members welcomed the inititative which they say, government and the private sector should come in and offer scholarships so that students should not have to travel abroad for a Masters or Doctorate program but rather enroll at The Polytechnic.",http://www.mubas.ac.mw/news/poly-to-introduce-new-programs-24-06-2020
Ministry of Labour pledges support to COVID 19 Innovations,Hazviperi Mbizi,"May 11, 2020","The tour which took place on Thursday May 7, 2020; Dr Kainja was accompanied by government officials from the Ministry, the Director of Technical and Vocational Training Skills and innovation, Aubrey Matemba, the Executive Director of TEVETA William Makulumiza Nkhoma and other government officials.Equipment and materials showcased were; low cost ventilators, 3D printable reusable face masks, drones, plastic face shields for safety of medical practitioners, hand sanitizers, pedal operated water dispensers, wheelchair bed for transporting patients and a portable solar cooler.In addition, new innovations have been added like the Full body decontamination chamber which could be used to disinfect health workers and can also be used at the airports or borders. A contact less water, soap sanitizer which could be used at the auto teller machine which uses senses to release soap or sanitizer without actually pressing it.Speaking after exploring the innovations, Dr Kainja applauded the Polytechnic Management and students describing the work as spectacular.“As a ministry we are ready to support this project on how best these items can be commercialized based on the stage which the products are on,” she said.Dr Kainja further said that this has been a wakeup call for the ministry innovation plans as they are coming in as technicians to do a fact finding and assess the feasibility of the work.The Principal, Professor Grant Kululanga thanked the team for visiting and showing support to the institution.All the equipment and materials could be accessed at the Polytechnic Design studio by ordering through Hilary Lodzanyama on 0888416190 or email hlodzanyama@poly.ac.mw",http://www.mubas.ac.mw/news/ministry-of-labour-pledges-support-to-covid-19-innovations-11-05-2020
Journalism lecturer publishes a book,Hazviperi Mbizi,"April 24, 2020","Mlenga, who lectures English literature among others at the institution, was encouraged by a local banker, Felix Chitera after reading some of his work.“The book is a combination of three stories, long in nature. The stories are about young people in rural parts of Malawi overcoming adversity to succeed in life. There is an overarching theme of the grace and love of God that helps us to survive. The stories also try to teach young ones some cultural activities that society may be forgetting such as putting on Manjelenjeza, a sort of a trinket, on a baby to encourage them to walk,” Mlenga said.He further added that he thought of publishing after realizing the gap in children literature.The Toy Gun aims at encouraging young ones to work hard in school, aim high, trust God and be courageous amidst challenges. It tries to inspire the girl child to aspire for education and success.Commenting on how the youth find books as archaic in this digital era, Mlenga had this to say; “Well, the digital era is being blamed by some quarters of causing a decline in the reading culture, as well as laziness and piracy. The book is trying to help revive a reading culture even in villages where phones and tablets are rare and a hard copy is treasure.”Former students of Journalism at the Polytechnic Tanangachi Mwalwimba and Chapter Banda applauded Mlenga for publishing the book which they say will encourage students and lecturers to publish books which are beneficial to the youth and the public in general.Mwalwimba had this to say: “I believe the combination of fiction and cultural aspect in telling the stories will help in teaching the youth our culture while at the same time promoting the reading culture.”The younger generation needs to know that without books, they are as good as hopeless. For books bring knowledge, wisdom and enlightenment.The book has been released by Montfort Media, and it can be accessed at its various shops in Blantyre, Zomba, Lilongwe, Dedza, Chikwawa, Mwanza at a price of k1500 each.",http://www.mubas.ac.mw/news/journalism-lecturer-publishes-a-book-24-04-2020
Poly COVID 19 innovations to get support,Hazviperi Mbizi,"April 22, 2020","The delegates from these sectors visited the Polytechnic on Wednesday. April 22, 2020 where they were taken through on how the materials and equipment could perform in the fight against the COVID 19.Equipment and materials showcased were;low cost ventilators, 3D printable reusable face masks, drones, plastic face shields for safety of medical practitioners, hand sanitizers, pedal operated water dispensers, wheelchair bed for transporting patients and a portable solar cooler.Speaking after the tour, the country representative of the World Food Program, representing the UN, Benoit Thiry said that he has been impressed with what the Polytechnic is producing regarding the pandemic.“We have funds available which the UN will consider supporting research, and production of the materials and also we are planning on purchasing the already produced face masks in thousands,” Thiry said.In his remarks, the Secretary for Health in the Ministry of Health Dr Dan Namarika described the innovation as brilliant work since it is providing solution to things that matter even beyond the Corona Virus disease.“We have seen products that are completed and ready to be procured and be used. It is the interest of the government that it will purchase most of them,” Dr Namalika said.He further explained that currently the Queen Elizabeth Central Hospital has purchased 3000 face shields from the Polytechnic.“Those that are completed and meet our standards are surely going to be taken, as government it is our policy to ensure that all employees are protected in this pandemic,” he added.The University Chair of Council Dr Billy Gama outlined that as University of Malawi apart from just imparting knowledge it is also responsible to do research and come up with skills which could be beneficial to the society.The Principal, Professor Grant Kululanga thanked the delegates for their presence and support to the institution and the COVID 19 task force.",http://www.mubas.ac.mw/news/poly-covid-19-innovations-to-get-support-22-04-2020
Poly helps in fighting COVID19,Hazviperi Mbizi,"April 17, 2020","The materials include; low cost ventilators to be used in hospitals, 3D printable reusable face masks, a drone which could be used to transfer blood samples and other testing facilities from the rural areas, plastic face shields for safety of medical practitioners, hand sanitizers which meets the World Health Organization standard and leg operated water dispensers for easy and safe hand washing.Speaking during the unveiling ceremony, the Principal, Professor Grant Kululanga explained that as an institution which aims at providing solutions to the community, they formed a COVID 19 task force, which through research came up with the innovative ideas.“The next step is to protype them, scale them up and start producing in large quantities so that they should be accessible to the general public and hospitals.” Professor Kululanga said.The projects were performed by students from different departments of Engineering and Applied Sciences. Later each member of these teams presented their products and demonstrated on how they operate.The project needs cooperation from the public so that they should be produced in large quantities so that they should be beneficial to the country.Those who would like to be part of these project in any way be it financial or professional expertise can do so by contacting the Polytechnic Design Studio.",http://www.mubas.ac.mw/news/poly-helps-in-fighting-covid19-17-04-2020
Equity with Quality of Learning in Secondary Project (EQUALS),Hazviperi Mbizi,"April 17, 2020","The Polytechnic’s project coordinator Dr. Rabson Mgawi explained that TTIs were involved in the inception of the project in 2017, and all preparatory works for implementation are complete. The Polytechnic was involved with designed and development of a mathematics training guide. With the assistance of Dr. Florence Thom, the manual is at almost ready for use when training of the teachers mid this year.The Project coordinator had this to say: “Academic staff from Faculty of Education and Media Studies and Applied Sciences and some teachers in mathematics, Biology, Physics and Chemistry will be heavily involved in the training of the CDSS teachers”.These academic staff will be supported by other veteran secondary school teachers in mathematics and science subjects. Prior to that field training these trainers will also undergo training organised by the World Bank in conjunction with a training material developer from New Jersey in America.“One of the thrusts for this intervention is to improve the performance of the students in mathematics and science subjects so that, the do well in the Malawi School Certificate of Education examinations as well cope up when they are admitted in the higher education universities and colleges,” Dr Mgawi added.Just three weeks ago (15th – 20th March), the Polytechnic team was involved in the scoping survey in the South Western Education Division (SWED) which lies in three districts of Chikwawa, Mwanza and Neno. The aim of the visit was to identify who teaches the mathematics and science subjects and check their teaching skills and content knowledge.The other teacher training institutions Chancellor College, Mzuzu University, Domasi College and Nalikule Teachers Training College. To support the project activities for the TTIs, the EQUALS Project has provided one new vehicle to each TTI and will further provide other office equipment in due course.",http://www.mubas.ac.mw/news/equity-with-quality-of-learning-in-secondary-project-equals-17-04-2020
Communicators select new leaders,Hazviperi Mbizi,"April 3, 2020","The positions which were contested on were the President, Vice President, General Secretary, Treasurer, Publicity Secretary and four Committee Members.A third year Bachelor of Business Communication student Peter Jiya won the presidency while Kelvin Phiri is the Vice president, Tionge Ligowe is the Publicity Secretary, Wezzie Mtawali is the General Secretary and Sarah Chirwa was voted the treasurer.In his remarks, the incumbent president Peter Jiya, vowed to continue with the activities which the outgoing committee together with their patron had implemented.“Apart from the usual activities, I would like to link up with the corporate world so that most of them should know the existence of this program and should engage the students on what is really on the ground before they graduate,” Jiya said.The elections also saw the Language and Communications lecturer Mafumu Matiki replacing a fellow lecturer in the same department, Dr Murendehle Juwayeyi as patron of the society.In his remarks, the out going patron, Dr Juwayeyi, explained that in line with the society’s mission which aims at creating a platform for developing skills and applying knowledge to bridge the communication gap and set standards for effective communication, they organized a number of activities to achieve this goal.“We had the usual meetings, but we also had a Career Talk that was attended by professionals from MACRA, MRA including the Director General of MBC who came by and spoke briefly,’’ he said.Dr Juwayeyi added that they had educational visits at Mulanje and Liwonde Secondary Schools where they conducted motivational talks to students there.“The Mulanje trip Career Talk took place when Jaquiline Ndindi, Mercy Nkhandwe, Linda Khunto, Elizabeth Hara, and Chifuniro Mawindo were in the lead. It was by far the best committee I worked with in my time as patron,” he recalled.He further added that Happy Mwaungulu, from another committee, was instrumental in organizing the Liwonde trip.The former patron concluded that the Committee elected now is awesome because it has representatives from all classes.",http://www.mubas.ac.mw/news/communicators-select-new-leaders-03-04-2020
MDC gets recognised by CIM,Hazviperi Mbizi,"March 27, 2020","The Awarding body (CIM) commended the MDC for the excellent standard of results achieved for assessments submitted in the December 2019 sessions in the Global Marketing Decisions unit and the Corporate Digital Communications unit of the CIM Postgraduate Diploma in professional marketing.The MDC Director Eric Chimpesa explained that as a centre they are proud of this achievement which he said has come about because of the hard work and determination of the staff members whom he is very proud of.“This achievement has manifested towards our vision which aims at being a leading Centre in the provision of management related capacity building services in Malawi and the region,” Chimpesa said.One of the lecturers whose course was recognized, Noel Chowawa explained that he is excited that out of the CIM tutors in Malawi and beyond, CIM would recognize him.“It attests to the dedication of the students and the support of staff and management of MDC. This also proves that MDC is the best place for anyone who wants to study any CIM course,” Chowawa said.He further added that the environment is conducive for learning with constant support to students where by they provide enough assignments and class work to the students to help them prepare properly for their exams and assignments.One of the students who was part of this class, Mike Chagwa, applauded the MDC management for their dedication which he said has enabled them to pass with flying colours and attain another qualification which will be used to upgrade them in their places of work.",http://www.mubas.ac.mw/news/mdc-gets-recognised-by-cim-27-03-2020
Young engineer makes a difference,Hazviperi Mbizi,"March 24, 2020","“I was shocked at the same time excited when I received the email that I have won this award, I knew that some people out there believe in the work that we do at FAR,” explained an excited Ghambi.The award was organised by the All African Student Union (AASU) in which they were looking for 20 change makers from different universities in Africa. This means only 20 girls won the Award from Africa.“Focus Action Results (FAR) Is a youth lead project that aims at building the passion in young people. It is a program that started in 2018 where our vision is to see that young people are at the center of development. To do this, we have engaged in mindset change and skills training in young people,” Ghambi explained.To get the award one was supposed to be nominated. From Malawi she was the only one who was also recognised on the international Day of Women this year.Ghambi explained that through her organization during one on one sessions they discovered that most young girls miss classes due to menstruation.“We have since then trained girls to make their own sanitary pads while providing them with information on hygiene and resources. We also provide awareness to young men based on menstruation to reduce menstruation shame,” she added.In addition, they have done motivational talks in different schools in Kasungu, Blantyre and Chikwawa- so far, FAR has reached to over 53000 young people.Ghambi expresses her gratitude to those who nominated her for believing in her and what she is doing to the community.",http://www.mubas.ac.mw/news/young-engineer-makes-a-difference-24-03-2020
Bright students get recognized,Hazviperi Mbizi,"March 20, 2020","The awards which are sponsored by the University of Strathclyde saw the students each receiving a certificate and k100,000 cash.Speaking before presenting the awards, the Principal, Professor Grant Kululanga thanked the University of Strathclyde for the sponsorship which he said will encourage the students to work extra hard in their studies.“I am very happy with what Strathclyde is doing in sponsoring these awards, this gives students a motivating factor in class as the industry is also looking for bright students,” he said.On behalf of the students, a fourth year Civil Engineering student Yvonne Awali thanked the sponsors and management for this recognition which she said has encouraged them to perform even better in the next academic year.“I would like to encourage my fellow ladies to also work hard, they should know that it is possible, I scored above 70 in an engineering a program which most people say, it is tough and not suitable for ladies,” Awali said.Another student who received the award, Ekari Chiwaya expressed his excitement by mentioning that it shows how much students are appreciated when they work extra hard in their studies.“I am very happy, apart from our recognition, it will help us to motivate other students who are behind us to work extra hard so that next year they should also receive these awards,” Chiwaya said.Also present were lecturers and other students.These awards are conducted annually under the Malawi millennium project and University of Strathclyde in Scotland.",http://www.mubas.ac.mw/news/bright-students-get-recognized-20-03-2020
Parliamentarians visit Poly,Hazviperi Mbizi,"March 19, 2020","The team which was led by Honorable Brainax Mfaume Azizi Kaise MP Nkhota-kota South, comprised of different members of parliament who are part of this committee whose aim is to monitor the challenges which are faced by schools in the country and work with the Minister of Education on the solutions.In the welcoming remarks, the Principal, Professor Grant Kululanga thanked the honorable members for sparing their time to visit the Polytechnic.The members led by Professor Kululanga visited the Nyika hostel which was gutted down by fire in November 2019.Later, Professor Kululanga made a presentation on the strategic objectives of the university, its vision and mission statements, the university mandate, outputs of the previous year, delinking from the University of Malawi and the prepared ness as it transforms to the new university knowns Malawi University of Business and Applied Sciences (MUBAS).“MUBAS strategic plan has five strategic objectives with which it is operating through the government policies such as; teaching and learning, research consultancy and out reach, finance and resource mobilization, innovation and entrepreneurship plus governance and management,” Professor Kululanga said.Later the management and the parialmentarians engaged in dialogue on various topics relevant in order to attain high and quality education at the university.",http://www.mubas.ac.mw/news/parliamentarians-visit-poly-19-03-2020
It is the male final year students again!,Hazviperi Mbizi and Chapter Banda,"March 19, 2020","The tournament which was slated for January 31 to March 14th, 2020 at the Polytechnic Volleyball courts was patronized by Polytechnic students’ teams from each year both male and female, alumni and staff members team.As it was in the previous year tournament, it was also the then fourth year male students’ team, which was declared winners.Speaking during the presentation of the awards the Alumni Publicity Secretary Twambi Chalemba thanked all participating teams for making the tournament a success. She further highlighted that this year’s tournament was properly organized and participated by all teams.“Our main challenge is the sponsorship which at the mean time comes from the few alumni pockets. This competition helps in bringing together students, staff and alumni to socialize and interact,” Chalemba said.She further pleads to the public and private sector to come forward to sponsor the next tournament.Noel Chavula a Polytechnic staff member and volleyball player on behalf of the Sports Administrator, commended all the participating teams for their commitment.He observed that only a few female students participated which he said this has led to the next motive for the Sports Director to woe the girls into being part of the game.The winning teams went away with monetary prizes and various Gold, Silver and Bronze medals.Other awards included, best setter, best blocker, best receiver, best server, best spiker and the most valuable player in each category.",http://www.mubas.ac.mw/news/it-is-the-male-final-year-students-again-19-03-2020
Mining students visit Songwe Hill,Jabulani Matsimbe,"March 17, 2020","The trip took place on March 5th, 2020, whose aim is to enhance part of the teaching curricular as well as giving students practical experience and also for students to appreciate the mining industry.The students were exposed to the geology and mineralization of Songwe hill; exploratory drilling; core recovery and rock quality designation (RQD) calculations.Geologists for Mkango Resources limited, Chikondi Mcheka and Fungai Kamzimbi, imparted the necessary practical knowledge to the geology and mining engineering students. They took the students uphill and explained its mineralization. After climbing the hill, the Geologists also demonstrated to the students how to calculate RQD and core sampling at the Shed.The Coordinator, Mr Matsimbe expressed his gratitude to Mkango Resources for its support towards the learning of the students.“We are grateful to Mkango Resources Ltd for granting us educational access to Songwe site. This will help The Polytechnic produce industry ready graduates” he said.According to the Head of Mining Engineering Department, Mr Tiyamike Haundi, the mining field visits are very important as they enhance teaching and learning thereby promoting the quality of mining education in the country.“As a Department, we appreciate the opportunity that Mkango Resources give us particularly in using their project as a teaching and learning resource. Through these visits, students are able to appreciate the complexity associated with obtaining some data which is eventually used in mine designs and decision making. Finally, we would like to encourage Mkango resources to continue supporting and engaging Mining Engineering Department in their activities to further strengthen the existing collaborative activities” he said.Mr Abdul Samson, a Lecturer in Geological/Geotechnical Engineering, said that he is looking forward to the successful completion of the feasibility study as well as commencement of mining so that students in the mining engineering department continue to benefit from the rare earth project site.“Among others, students learnt how core logging is used to determine lithology (rock types), mineralogy as well as potential geological history of rocks. Climbing the hill, students were able to appreciate the stratigraphy of the rock. Great appreciation should also go to Chikondi Mcheka and Fungai Kamzimbi for the immense experience shared to the students” he said.A third-year female student, Mutisunge Moyo, studying towards Bachelor of Geological Engineering (Hons) said that “As a student the Songwe trip was not only educative but inspirational. It provided us with the practical essence of what we learn in class. One of the modules that we learn is the Geology & Mineral Resources of Malawi hence the trip served as a practical experience to the things that we learn in class”.A second year Bachelor of Mining Engineering student, Mthunzi Chikhungu said that “Our trip to Songwe Hill was extremely insightful to say the least. We were shown the exploratory drilling patterns they use to extract the Carbonatite core samples.Overall, the experience was worthwhile as we had to go up the hill and see the stratigraphy. We saw the rock samples that were obtained from drill holes and even calculated their RQD. It may have been a day’s trip, but we will remember what we learnt for much longer”.",http://www.mubas.ac.mw/news/mining-students-visit-songwe-hill-17-03-2020
